Date,BTCX21.CME,BTCZ21.CME,BTCF22.CME,BTCG22.CME,BTCH22.CME,BTCJ22.CME,BTCZ22.CME,BTC-USD
2020-12-11,,19705.0,,,,,,18058.904296875
2020-12-14,,21190.0,,,,,,19246.64453125
2020-12-15,,21510.0,,,,,,19417.076171875
2020-12-16,,23095.0,,,,,,21310.59765625
2020-12-17,,25315.0,,,,,,22805.162109375
2020-12-18,,25405.0,,,,,,23137.9609375
2020-12-21,,25355.0,,,,,,22803.08203125
2020-12-22,,26015.0,,,,,,23783.029296875
2020-12-23,,26600.0,,,,,,23241.345703125
2020-12-28,,30165.0,,,,,33065.0,27084.80859375
2020-12-29,,30075.0,,,,,32975.0,27362.4375
2020-12-30,,31475.0,,,,,34375.0,28840.953125
2020-12-31,,31460.0,,,,,34360.0,29001.720703125
2021-01-04,,34050.0,,,,,36950.0,31971.9140625
2021-01-05,,37105.0,,,,,40005.0,33992.4296875
2021-01-06,,39655.0,,,,,42555.0,36824.36328125
2021-01-07,,43030.0,,,,,45930.0,39371.04296875
2021-01-08,,43135.0,,,,,46035.0,40797.609375
2021-01-11,,36895.0,,,,,39795.0,35566.65625
2021-01-12,,37995.0,,,,,40895.0,33922.9609375
2021-01-13,,39505.0,,,,,42405.0,37316.359375
2021-01-14,,42910.0,,,,,45810.0,39187.328125
2021-01-15,,39090.0,,,,,41990.0,36825.3671875
2021-01-19,,40180.0,,,,,43080.0,36069.8046875
2021-01-20,,38075.0,,,,,40975.0,35547.75
2021-01-21,,34800.0,,,,,37700.0,30825.69921875
2021-01-22,,36670.0,,,,,39570.0,33005.76171875
2021-01-25,,36705.0,,,,,39605.0,32366.392578125
2021-01-26,,34820.0,,,,,37720.0,32569.849609375
2021-01-27,,33910.0,,,,,36810.0,30432.546875
2021-01-28,,35125.0,,,,,38025.0,31649.60546875
2021-01-29,,37545.0,,,,,40445.0,34316.38671875
2021-02-01,,36515.0,,,,,39415.0,33537.17578125
2021-02-02,,39060.0,,,,,41960.0,35510.2890625
2021-02-03,,40300.0,,,,,43200.0,37472.08984375
2021-02-04,,40805.0,,,,,43705.0,36926.06640625
2021-02-05,,41115.0,,,,,44015.0,38144.30859375
2021-02-08,,48080.0,,,,,50980.0,46196.46484375
2021-02-09,,51660.0,,,,,54560.0,46481.10546875
2021-02-10,,48810.0,,,,,51710.0,44918.18359375
2021-02-11,,51705.0,,,,,54605.0,47909.33203125
2021-02-12,,52190.0,,,,,55090.0,47504.8515625
2021-02-16,,54000.0,,,,,56900.0,49199.87109375
2021-02-17,,58260.0,,,,,61160.0,52149.0078125
2021-02-18,,57770.0,,,,,60670.0,51679.796875
2021-02-19,,61645.0,,,,,64545.0,55888.1328125
2021-02-22,,59755.0,,,,,62655.0,54207.3203125
2021-02-23,,52350.0,,,,,55250.0,48824.42578125
2021-02-24,,54335.0,,,,,57235.0,49705.33203125
2021-02-25,,53875.0,,,,,56775.0,47093.8515625
2021-02-26,,53250.0,,,,,56150.0,46339.76171875
2021-03-01,,55300.0,,,,,58200.0,49631.2421875
2021-03-02,,54260.0,,,,,57160.0,48378.98828125
2021-03-03,,57485.0,,,,,60385.0,50538.2421875
2021-03-04,,54510.0,,,,,57410.0,48561.16796875
2021-03-05,,55565.0,,,,,58465.0,48927.3046875
2021-03-08,,58335.0,,,,,61235.0,52246.5234375
2021-03-09,,60975.0,,,,,63875.0,54824.1171875
2021-03-10,,63225.0,,,,,66125.0,56008.55078125
2021-03-11,,64620.0,,,,,67520.0,57805.12109375
2021-03-12,,64070.0,,,,,66970.0,57332.08984375
2021-03-15,,63830.0,,,,,66730.0,55907.19921875
2021-03-16,,62830.0,,,,,65730.0,56804.90234375
2021-03-17,,64840.0,,,,,67740.0,58870.89453125
2021-03-18,,65175.0,,,,,68075.0,57858.921875
2021-03-19,,66760.0,,,,,69660.0,58346.65234375
2021-03-22,,63225.0,,,,,66125.0,54529.14453125
2021-03-23,,61850.0,,,,,64750.0,54738.9453125
2021-03-24,,60500.0,,,,,63400.0,52774.265625
2021-03-25,,57685.0,,,,,60585.0,51704.16015625
2021-03-26,,58495.0,,,,,61395.0,55137.3125
2021-03-29,,62275.0,,,,,65175.0,57750.19921875
2021-03-30,,63180.0,,,,,66080.0,58917.69140625
2021-03-31,,62935.0,,,,,65835.0,58918.83203125
2021-04-01,,63095.0,,,,,65995.0,59095.80859375
2021-04-05,,63545.0,,,,,66445.0,59057.87890625
2021-04-06,,62225.0,,,,,65125.0,58192.359375
2021-04-07,,59625.0,,,,,62525.0,56048.9375
2021-04-08,,62400.0,,,,,65300.0,58323.953125
2021-04-09,,63075.0,,,,,65975.0,58245.00390625
2021-04-12,,64865.0,,,,,67765.0,59893.453125
2021-04-13,,67950.0,,,,,70850.0,63503.45703125
2021-04-14,,66800.0,,,,,69700.0,63109.6953125
2021-04-15,,68325.0,,,,,71225.0,63314.01171875
